iter	Passed	Remaining
716	1342	529
717	1343	527
718	1345	525
719	1347	523
720	1349	522
721	1353	520
722	1355	519
723	1357	517
724	1359	515
725	1362	514
726	1363	512
727	1367	510
728	1370	509
729	1371	507
730	1373	505
731	1375	503
732	1376	501
733	1378	499
734	1382	498
735	1384	496
736	1385	494
737	1387	492
738	1389	490
739	1390	488
740	1392	486
741	1393	484
742	1395	482
743	1398	481
744	1400	479
745	1402	477
746	1404	475
747	1406	473
748	1407	471
749	1409	469
750	1414	469
751	1416	467
752	1419	465
753	1421	463
754	1422	461
755	1424	459
756	1426	458
757	1429	456
758	1432	455
759	1435	453
760	1438	451
761	1440	449
762	1443	448
763	1446	446
764	1448	444
765	1451	443
766	1453	441
767	1456	439
768	1459	438
769	1462	436
770	1464	434
771	1466	432
772	1468	431
773	1470	429
774	1472	427
775	1475	425
776	1476	423
777	1478	421
778	1480	420
779	1482	418
780	1484	416
781	1487	414
782	1490	413
783	1491	411
784	1493	409
785	1496	407
786	1498	405
787	1500	403
788	1502	401
789	1505	400
790	1506	398
791	1508	396
792	1510	394
793	1512	392
794	1514	390
795	1516	388
796	1521	387
797	1523	385
798	1525	383
799	1527	381
800	1528	379
801	1530	377
802	1533	376
803	1536	374
804	1537	372
805	1539	370
806	1541	368
807	1543	366
808	1545	364
809	1546	362
810	1549	360
811	1551	359
812	1553	357
813	1554	355
814	1556	353
815	1557	351
816	1559	349
817	1560	347
818	1562	345
819	1564	343
820	1567	341
821	1568	339
822	1570	337
823	1571	335
824	1573	333
825	1574	331
826	1576	329
827	1578	327
828	1580	325
829	1582	324
830	1584	322
831	1586	320
832	1588	318
833	1590	316
834	1591	314
835	1593	312
836	1595	310
837	1597	308
838	1598	306
839	1600	304
840	1602	303
841	1604	301
842	1606	299
843	1608	297
844	1609	295
845	1612	293
846	1613	291
847	1615	289
848	1617	287
849	1618	285
850	1620	283
851	1622	281
852	1624	279
853	1627	278
854	1629	276
855	1631	274
856	1632	272
857	1634	270
858	1636	268
859	1637	266
860	1640	264
861	1642	262
862	1643	260
863	1645	258
864	1646	257
865	1648	255
866	1649	253
867	1651	251
868	1653	249
869	1655	247
870	1657	245
871	1659	243
872	1660	241
873	1662	239
874	1663	237
875	1665	235
876	1666	233
877	1668	231
878	1670	229
879	1672	228
880	1674	226
881	1676	224
882	1677	222
883	1679	220
884	1680	218
885	1682	216
886	1684	214
887	1687	212
888	1688	210
889	1690	208
890	1691	206
891	1693	205
892	1695	203
893	1696	201
894	1698	199
895	1702	197
896	1704	195
897	1705	193
898	1707	191
899	1709	189
900	1710	187
901	1712	186
902	1714	184
903	1717	182
904	1720	180
905	1721	178
906	1723	176
907	1725	174
908	1726	172
909	1728	170
910	1732	169
911	1733	167
912	1735	165
913	1737	163
914	1739	161
915	1740	159
916	1742	157
917	1744	155
918	1748	154
919	1749	152
920	1751	150
921	1754	148
922	1756	146
923	1758	144
924	1760	142
925	1763	140
926	1765	139
927	1766	137
928	1768	135
929	1770	133
930	1771	131
931	1773	129
932	1774	127
933	1778	125
934	1779	123
935	1781	121
936	1782	119
937	1784	117
938	1785	116
939	1787	114
940	1790	112
941	1793	110
942	1794	108
943	1796	106
944	1797	104
945	1798	102
946	1800	100
947	1801	98
948	1802	96
949	1804	94
950	1806	93
951	1808	91
952	1810	89
953	1812	87
954	1814	85
955	1816	83
956	1817	81
957	1819	79
958	1821	77
959	1823	75
960	1825	74
961	1827	72
962	1829	70
963	1831	68
964	1832	66
965	1834	64
966	1836	62
967	1838	60
968	1840	58
969	1842	56
970	1843	55
971	1845	53
972	1846	51
973	1848	49
974	1850	47
975	1853	45
976	1854	43
977	1855	41
978	1857	39
979	1859	37
980	1861	36
981	1863	34
982	1864	32
983	1867	30
984	1869	28
985	1870	26
986	1872	24
987	1874	22
988	1876	20
989	1877	18
990	1879	17
991	1882	15
992	1884	13
993	1885	11
994	1887	9
995	1888	7
996	1890	5
997	1893	3
998	1894	1
999	1898	0
